image_id,image,brightness_threshold,defect_percentage,number_of_defects,yellow_ratio,largest_defect_ratio,mean_defect_ratio,aspect_ratio,circularity,solidity,grade
NDM_M1 (19),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (19).jpg,20,0.07542523274509828,3,45.74534233857467,0.00041453217346086536,0.0002514174424836609,2.326145552560647,0.55819779310693,0.9598621620569263,NDM_M1
NDM_M1 (190),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (190).jpg,18,0.09906376876314953,4,92.12228138093846,0.00033755061948925025,0.0002476594219078738,0.5023668639053255,0.5834351130266061,0.9520162092805332,NDM_M1
NDM_M1 (191),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (191).jpg,24,0.05283473002920586,4,4.709629129547823,0.00020232347015152247,0.00013208682507301467,2.0566948130277445,0.62060965222075,0.9678714491957949,NDM_M1
NDM_M1 (192),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (192).jpg,24,0.06393272181510239,5,4.5335636308755225,0.0002096154813609914,0.00012786544363020477,0.48621700879765395,0.6228802388360422,0.9682416368898117,NDM_M1
NDM_M1 (193),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (193).jpg,19,0.08095799976536723,3,15.78942775783184,0.0003694011725820948,0.0002698599992178908,2.036860879904875,0.6337409673194335,0.9694153444534852,NDM_M1
NDM_M1 (194),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (194).jpg,19,0.07678205626612351,3,15.698149571833394,0.00034125358340499334,0.000255940187553745,0.49182242990654207,0.6247336114724757,0.9688091119723095,NDM_M1
NDM_M1 (195),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (195).jpg,25,0.16495116025333398,7,89.06781612411041,0.0007166175650927622,0.00023564451464761998,2.0625766871165645,0.6006573597612528,0.969998781501201,NDM_M1
NDM_M1 (196),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (196).jpg,25,0.1900547684709142,6,89.11449751111073,0.0007550562957927661,0.0003167579474515237,0.4845422116527943,0.6047277670286622,0.97002732487536,NDM_M1
NDM_M1 (197),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (197).jpg,23,0.13470454928406853,4,61.919885344940205,0.0004875111938249844,0.0003367613732101713,2.0728155339805827,0.623361726104149,0.9701658790559345,NDM_M1
NDM_M1 (198),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (198).jpg,23,0.15008237497314889,3,62.05499298322314,0.0006519972027522041,0.0005002745832438295,0.4809830310122879,0.6238590701607831,0.970619336112034,NDM_M1
NDM_M1 (199),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (199).jpg,28,0.12743058077582045,4,1.1725108844729095,0.0007359570004571692,0.0003185764519395511,2.1007462686567164,0.6091790343789782,0.960955343812375,NDM_M1
NDM_M1 (2),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (2).jpg,22,0.12427397260273973,4,71.39572602739726,0.0006016438356164384,0.00031068493150684934,0.4576470588235294,0.6034070206637734,0.9598652159406975,NDM_M1
NDM_M1 (20),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (20).jpg,20,0.0729646838667113,3,45.91833105855201,0.00037769954001591735,0.0002432156128890377,0.42997685185185186,0.5600635564694939,0.9601560384041881,NDM_M1
NDM_M1 (200),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (200).jpg,28,0.12208512419998462,4,1.2086747729195328,0.0007295200334959711,0.00030521281049996154,0.4774881516587678,0.6081974346141311,0.9610435966910048,NDM_M1
NDM_M1 (201),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (201).jpg,19,0.05608696985763549,3,0.2041916246379542,0.00026181222257763443,0.0001869565661921183,2.17578125,0.607264521908305,0.9562262823911024,NDM_M1
NDM_M1 (202),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (202).jpg,18,0.06253210108954793,2,0.19394807535830016,0.00031977887072063047,0.0003126605054477397,0.46020347097546377,0.607836103728086,0.9561330285361709,NDM_M1
NDM_M1 (203),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (203).jpg,14,0.08997207346032814,4,68.30101268078282,0.00035416879772892006,0.00022493018365082036,2.0314389359129383,0.5829274805814033,0.9476296398042732,NDM_M1
NDM_M1 (204),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (204).jpg,13,0.09280273042346193,4,68.16811368554389,0.00047940746996006403,0.00023200682605865484,0.493452380952381,0.5828285778146566,0.9469970379700208,NDM_M1
NDM_M1 (205),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (205).jpg,19,0.0676840367574734,3,61.92574492664702,0.00031321297516929053,0.00022561345585824468,2.104325699745547,0.618214608477607,0.9562020238564481,NDM_M1
